StationName,StationCode,TargetLatitude,TargetLongitude
"0-Huntington State Beach, Orange",0,33.6293,-117.96
"10000-Solimar Beach, Ventura",10000,34.3108,-119.359
"1000-Rincon Beach, Ventura",1000,34.3733,-119.477
"1001-Rincon Beach, Ventura",1001,34.3735,-119.476
"1050-Rincon Beach, Ventura",1050_SCCWRP,34.3739,-119.475
10th Avenue -18in Discharge,203CAR060-DIS-18,36.55,-121.929
"11000-Emma Woods State Beach, Ventura",11000,34.2918,-119.338
"1100-Rincon Beach, Ventura",1100_SCCWRP,34.3754,-119.473
1149L Inlet,12-329,33.63989,-117.86146
1149L Outlet,12-330,33.63989,-117.86146
1180R Outlet,12-356,33.6487,-117.8603
1194 Outlet,12-336,33.6529,-117.8616
11th Avenue -18in Discharge,203CAR070-DIS-18,36.5488,-121.929
"12000-Seaside Wilderness Park Beach, Ventura",12000,34.2789,-119.316
"12N-Huntington City Beach, Orange",12N,33.6467,-117.989
"12S-Newport Beach, Orange",12S,33.6096,-117.931
12th Avenue -18in Discharge,203CAR080-DIS-18,36.5477,-121.929
"13000-Surfers Point at Seaside, Ventura",13000,34.273,-119.305
"13001-Ventura River, Ventura",13001,34.2734,-119.307
13th Avenue -18in Discharge,203CAR090-DIS-18,36.5464,-121.929
"14000-Promenade Park Beach, Ventura",14000,34.2742,-119.297
"15000-Promenade Park Beach, Ventura",15000,34.2751,-119.296
"15N-Huntington City Beach, Orange",15N,33.6521,-117.998
"15S-Newport Beach, Orange",15S,33.6563,-117.924
"16000-Promenade Park Beach, Ventura",16000,34.2753,-119.295
"17000-Promenade Park Beach, Ventura",17000,34.2752,-119.293
"1793 Franklin Street, Santa Monica Catch Basin",1793_Franklin_CB,34.0326,-118.462
"18000-San Buenaventura State Beach, Ventura",18000,34.2736,-119.289
18th Fairway PBGL - 18in Discharge,203PEB020-DIS-18,36.5673,-121.948
18th Green PBGL / Lodge - 36in Discharge,203PEB010-DIS-36,36.5674,-121.95
18th Green PBGL / Lodge - Receiving Water,203PEB010-REC,36.5674,-121.95
18th Green PBGL / Lodge -18in Discharge,203PEB010-DIS-18,36.5674,-121.95
"19000-San Buenaventura State Beach, Ventura",19000,34.272,-119.286
"20000-San Buenaventura State Beach, Ventura",20000,34.2659,-119.278
"2000-La Conchita Beach, Ventura",2000,34.3686,-119.455
"2001 Shoreline Dr.-Crown Beach (Alameda Co), East Bay Parks District",Crown 2001 Shoreline Dr.,37.7573,-122.259
209-6T,10-300,37.747289,-121.343989
"21000-San Buenaventura State Beach, Ventura",21000,34.2569,-119.272
"21N-Huntington City Beach, Orange",21N,33.6638,-118.013
"21S-Newport Beach, Orange",21S,33.6009,-117.903
"22000-Marina Park Beach, Ventura",22000,34.2538,-119.27
222 E. Bristol building,222Bristol,33.82674,-117.85279
2245 N. Glassell laboratory building,2245Glassell,33.82578,-117.85281
"23000-Penninsula Beach, Ventura",23000,34.2464,-119.268
2301 N. Glassell building,2301Glassell,33.82621,-117.85205
"24000-South Jetty Beach, Ventura",24000,34.2456,-119.268
245 Bridge,558KAR050,36.40087,-119.02937
"24-inch outlet pipe on west side of channel, south of Woodglen Vista Drive",J30d-6,32.8657,-116.974
"25000-Surfers Knoll Beach, Ventura",25000,34.2397,-119.267
"26000-McGrath State Beach, Ventura",26000,34.2233,-119.261
"27000-McGrath State Beach, Ventura",27000,34.219,-119.259
"27N-Huntington City Beach, Orange",27N,33.6756,-118.029
"27S-Newport Beach, Orange",27S,33.5943,-117.882
"28000-McGrath State Beach, Ventura",28000,34.2088,-119.254
28-ft RVTS Strip Station,3-217,38.4565,-121.4934
"29000-Oxnard Beach, Ventura",29000,34.1979,-119.249
"29500-Oxnard Beach, Ventura",29500,34.1953,-119.247
"29S-Newport Beach, Orange",29S,33.5932,-117.876
"30000-Oxnard Beach, Ventura",30000,34.1904,-119.245
"3000-Mussel Shoals Beach, Ventura",3000,34.3552,-119.441
"31000-Oxnard Beach, Ventura",31000,34.1852,-119.242
"32000-Oxnard Beach Park, Ventura",32000,34.1787,-119.238
"33000-Oxnard Beach Park, Ventura",33000,34.1765,-119.237
"33N-Bolsa Chica State Beach, Orange",33N,33.6882,-118.042
"34000-Hollywood Beach, Ventura",34000,34.1686,-119.233
"35000-Hollywood Beach, Ventura",35000,34.1633,-119.23
"36000-Hobie Beach, Ventura",36000,34.1601,-119.222
"37000-Kiddie Beach, Ventura",37000,34.1612,-119.222
"37500-Kiddie Beach, Ventura",37500,34.1581,-119.224
"38000-Silverstrand Beach, Ventura",38000,34.1573,-119.225
"39000-Silverstrand Beach, Ventura",39000,34.1524,-119.22
"39N-Bolsa Chica State Beach, Orange",39N,33.7021,-118.055
"39S-Crystal Cove State Park, Orange",39S,33.5784,-117.849
"3N-Huntington State Beach, Orange",3N,33.6331,-117.966
"3S-Newport Beach, Orange",3S,33.6265,-117.954
"40000-Silverstrand Beach, Ventura",40000,34.1474,-119.217
"4000-Oil Piers Beach, Ventura",4000,34.3522,-119.428
"41000-Port Hueneme Beach Park, Ventura",41000,34.1413,-119.195
"42000-Ormond Beach, Ventura",42000,34.139,-119.189
"43000-Ormond Beach, Ventura",43000,34.1358,-119.184
43rd and Logan Bioretention Basin Effluent,43LBR02,32.69736,-117.10253
43rd and Logan Bioretention Basin Influent,43LBR01,32.69678,-117.10233
43rd and Logan Bioretention Basin Influent 2,43LFL02,32.69649,-117.10227
43rd and Logan Curbside Filter Influent,43LFL01,32.69666,-117.10183
"44000-Ormond Beach, Ventura",44000,34.1195,-119.16
"45000-Point Mugu Beach, Ventura",45000,34.0878,-119.065
"46000-Thornhill Broome Beach, Ventura",46000,34.0752,-119.024
"47000-Sycamore Cove Beach, Ventura",47000,34.0698,-119.015
"48000-Deer Creek Beach, Ventura",48000,34.0614,-118.986
"49000-County Line Beach, Ventura",49000,34.0522,-118.965
4th Avenue - 36in Discharge,203CAR010-DIS-36,36.5561,-121.931
4th Avenue - Receiving Water,203CAR010-REC,36.5561,-121.931
4th Avenue Stormwater Outfall,C-1,33.4627,-117.683
"50000-Staircase Beach, Ventura",50000,34.0461,-118.951
"5000-Hobson County Park Beach, Ventura",5000,34.3378,-119.412
52nd_Street_Catch_Basin,52SCB,33.99535,-118.26593
"6000-Rincon Parkway North, Ventura",6000,34.3318,-119.402
"6N-Huntington State Beach, Orange",6N,33.6384,-117.975
"6S-Newport Beach, Orange",6S,33.6222,-117.944
6th Street Site-6St,6St,37.54331212,-122.5164459
"7000-Faria County Park Beach, Ventura",7000,34.319,-119.392
"8000-Mandos Cove Beach, Ventura",8000,34.3208,-119.376
805N - San Diego County,11-100,32.7357,-117.1132
8th Avenue -18in Discharge,203CAR040-DIS-18,36.5526,-121.929
8th St,PBL-030,32.67483,-117.11495
8th Street at Ocean View -18in Discharge,203PAC030-DIS-18,36.6216,-121.91
"9000-Solimar Beach, Ventura",9000,34.3174,-119.367
"9N-Huntington State Beach, Orange",9N,33.6417,-117.981
"9S-Newport Beach, Orange",9S,33.6167,-117.937
9th Avenue -18in Discharge,203CAR050-DIS-18,36.5512,-121.929
AA_Airport 1_Pueblo San Diego,AA_Airport 1,32.73635,-117.2077
"AB8-Avila Beach, San Luis Obispo",AB8,35.1781,-120.733
"AB9-Avila Beach, San Luis Obispo",AB9,35.1785,-120.736
Above Polhemus,204SMA120,37.53258,-122.35121
Above the Reservoir,205STE080,37.28367,-122.07694
Above Zoo at Golf Links,204AVJ140,37.75714,-122.14068
Abramson Creek at Willowside Road Levy-114UW0048,114UW0048,38.44569,-122.80304
AC0_B03,B03_AC0,33.5117,-117.7547
AC0OFFSHORE_B03,B03_AC0OFFSHORE,33.5117,-117.7547
AC225L_B03,B03_AC225L,33.51296,-117.75613
AC225LOFFSHORE_B03,B03_AC225LOFFSHORE,33.5103,-117.7532
AC225R_B03,B03_AC225R,33.51026,-117.75318
AC225ROFFSHORE_B03,B03_AC225ROFFSHORE,33.513,-117.7561
AC25L_B03,B03_AC25L,33.51195,-117.7549
AC25LOFFSHORE_B03,B03_AC25LOFFSHORE,33.5115,-117.7545
AC25R_B03,B03_AC25R,33.51153,-117.75488
AC25ROFFSHORE_B03,B03_AC25ROFFSHORE,33.5119,-117.7549
AC75L_B03,B03_AC75L,33.51221,-117.75521
AC75LOFFSHORE_B03,B03_AC75LOFFSHORE,33.5112,-117.7542
AC75R_B03,B03_AC75R,33.51123,-117.75415
AC75ROFFSHORE_B03,B03_AC75ROFFSHORE,33.5122,-117.7552
ACOE (Army Corps of Eng) Bridge,551ACOEBR,36.83,-119.336
ACU_B03,B03_ACU,33.5117,-117.75468
"Adobe Creek - Ely Blvd crossing, near Fairway Meadows Golf Course",206PET130,38.24295,-122.59433
Ag ditch near Wescott Rd,520COL001,39.16692,-122.03474
Ag ditch near Will S Green Rd,520COL004,39.18803,-122.0315
